"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
"28",40,20,90,0,60,0,40,10,70,0,10,30,30,10,0,20,0,60,20,100,20,20,150,120,10,140,110,0,1760,80,20,10,140,270,230,520,70,230,190,40,110,150,60,40,30,20,60,40,40,0,560,20,70,50
"29",260,130,360,100,250,80,80,50,360,160,210,100,390,110,210,80,20,210,140,750,100,390,1880,1100,780,1190,1110,1380,0,2270,640,3070,2120,1830,1930,4610,930,6920,1870,1110,790,1190,310,620,320,150,540,280,360,500,6860,640,280,710
"30",40,10,70,0,60,0,20,0,80,0,10,0,30,0,0,0,0,0,20,110,10,20,70,70,10,10,520,20,1650,0,20,30,80,40,10,60,30,80,150,340,110,60,50,170,20,20,20,0,0,60,930,70,60,100
"31",30,0,10,0,20,0,0,0,60,0,0,10,20,0,50,0,0,0,10,140,20,0,30,20,60,40,0,100,870,110,0,20,290,30,20,30,210,30,50,10,10,100,30,20,0,10,20,0,60,10,270,0,0,10
"32",40,20,20,0,0,0,0,0,10,0,20,0,10,0,0,0,0,20,0,30,0,0,80,0,0,10,80,50,1620,10,10,0,30,60,20,60,30,100,60,90,80,90,0,10,0,50,40,30,30,40,290,30,60,0
"33",90,30,30,0,40,0,60,0,50,0,10,0,30,10,30,10,0,30,0,300,10,30,210,140,70,180,40,100,2300,80,110,30,0,150,170,90,320,280,160,50,130,120,20,60,40,20,130,30,60,50,900,100,20,80
"34",40,10,20,0,20,0,40,0,40,30,0,0,10,10,0,0,0,0,20,160,0,10,70,70,20,90,60,280,1850,110,20,50,60,0,60,50,90,70,60,60,80,30,20,120,50,40,150,30,40,20,630,120,60,230
"35",0,30,10,0,0,0,0,10,50,10,0,10,20,10,10,10,0,0,10,160,0,0,170,150,20,0,60,100,1070,110,20,70,200,30,0,80,0,10,150,70,80,120,10,20,0,20,40,0,40,0,640,90,50,70
"36",10,10,20,0,50,0,0,10,20,10,10,0,0,0,40,10,0,10,0,130,0,20,90,120,30,0,130,70,2910,480,10,200,50,80,50,0,30,80,330,150,80,320,80,80,40,40,40,70,60,70,920,80,60,100
"37",0,10,10,0,10,0,0,0,30,0,0,0,10,0,0,10,10,10,0,50,20,20,80,30,20,0,0,30,720,10,10,100,230,80,10,10,0,30,80,140,40,90,10,20,50,0,30,0,10,0,200,10,0,0
"38",40,10,0,0,10,10,0,10,20,0,0,10,20,0,10,0,0,10,50,90,0,0,10,0,0,0,10,20,1950,120,10,150,80,10,110,70,0,0,90,0,70,40,10,10,30,0,30,10,0,20,220,20,10,50
"39",10,60,60,0,60,0,50,20,30,10,60,20,110,0,0,0,20,80,10,150,10,50,420,120,60,0,190,70,1940,260,20,80,30,80,110,360,10,180,0,230,270,260,20,280,60,110,140,0,0,80,1440,80,0,80
"40",0,10,60,0,60,0,0,0,30,0,50,20,20,0,30,0,10,0,20,40,0,0,140,50,30,0,90,30,940,650,0,10,70,120,40,70,10,0,300,0,120,20,50,70,0,20,50,10,10,40,600,70,30,20
"41",10,50,20,0,20,0,20,0,40,10,10,10,0,0,20,0,10,20,0,60,10,10,40,70,10,0,70,30,1010,180,0,0,60,20,30,60,20,0,370,350,0,70,30,130,0,40,60,10,10,50,360,30,0,150
"42",20,40,100,10,50,10,40,30,140,10,20,0,30,50,0,10,20,20,0,130,20,50,80,100,140,0,40,10,670,30,30,110,80,50,50,120,100,0,240,70,40,0,80,40,80,30,380,60,90,160,3090,220,80,470
"43",0,50,50,0,50,20,0,0,40,0,60,10,50,0,0,10,0,0,10,70,0,0,10,70,30,0,60,40,200,40,10,0,50,0,30,70,0,0,40,30,20,60,0,30,20,10,110,10,30,40,3090,290,20,1010
"44",20,30,90,0,30,50,10,0,50,10,0,0,70,0,0,10,0,0,40,130,40,10,190,80,0,20,50,150,480,60,0,60,20,40,40,50,10,0,270,40,50,100,20,0,40,80,70,10,0,40,2340,180,30,230
"45",50,0,50,0,10,0,0,0,30,10,10,10,50,0,0,0,0,0,0,30,0,80,30,0,10,0,40,10,130,30,10,0,20,0,10,20,20,0,110,10,20,60,80,80,0,40,10,10,30,40,1140,100,20,350
"46",20,10,20,10,50,20,10,10,60,0,0,10,0,0,0,50,0,0,0,40,30,0,70,50,20,0,10,40,170,80,10,0,10,0,50,10,20,10,30,30,40,20,30,100,40,0,90,10,30,60,820,30,10,250
"47",30,20,160,0,0,10,40,10,210,10,40,60,70,10,30,0,0,50,0,130,10,0,70,80,20,0,0,50,980,30,0,40,90,30,0,110,20,30,120,60,60,160,90,60,20,20,0,840,960,520,2820,170,80,440
"48",10,0,10,0,40,20,0,0,50,0,0,30,0,0,40,0,0,10,10,10,30,60,30,10,0,0,20,0,280,10,10,10,20,10,0,0,10,0,0,20,10,150,20,40,30,0,710,0,100,50,1040,110,0,120
"49",0,0,20,0,10,0,10,0,10,0,10,20,10,0,0,0,0,0,0,10,0,10,30,0,10,0,0,0,200,0,10,0,0,20,0,10,0,10,40,50,60,150,30,40,10,0,440,60,0,280,1060,40,0,140
"50",50,30,20,0,60,10,0,10,160,0,0,10,40,0,20,20,0,20,50,30,0,0,130,200,10,0,20,10,630,30,0,40,60,80,20,10,10,0,40,40,20,70,10,90,20,20,670,60,270,0,2420,70,90,520
"51",5660,5580,7790,3840,6410,5360,2530,7020,7930,5770,8160,3280,7640,930,1770,1780,770,2570,1310,5710,1120,2380,1980,2560,2330,350,450,320,5190,790,310,180,740,330,420,690,210,330,1710,470,870,2890,5430,3030,1380,1570,3690,750,1680,2260,0,53490,6070,13870
"52",270,540,500,300,150,240,120,270,350,180,190,120,250,30,70,110,20,170,10,300,120,160,270,220,150,90,30,0,390,60,100,0,60,40,50,30,20,40,190,100,110,220,340,130,120,40,150,40,60,140,10560,0,610,650
"53",90,200,210,60,110,10,60,160,160,190,130,30,170,30,60,0,50,40,0,330,80,70,20,40,20,10,20,20,190,70,40,0,10,0,20,10,0,0,80,80,0,160,110,100,30,20,80,60,140,30,3060,560,0,340
"54",370,200,930,90,420,300,330,520,750,350,1350,1460,470,130,230,380,140,170,50,500,150,60,270,220,150,0,30,50,570,190,10,10,150,30,60,110,20,50,180,80,130,550,1020,490,240,380,510,200,230,350,12360,4010,1460,0
