"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494
"151",0,0,0,0,10,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,10,30,40,20,0,0,60,0,0,60,10,0,50,0,30,40,0,0,0,0,0,0,0,0,0,0,0,150,30,0,0,0,30,50,90,60,180,50,80,0,0,40,0,100,10,0,0,70,10,30,30,50,0,30,50,140,0,90,0,100,580,170,0,10,0,10,0,20,10,40,0,70,0,0,0,40,0,10,10,0,0,0,0,0,100,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,80,0,0,60,0,80,50,260,1670,500,460,290,3600,0,0,40,30,40,140,90,80,0,10,20,0,0,10,10,0,20,20,20,60,30,40,130,10,30,10,140,10,20,40,10,20,10,50,10,90,10,50,20,10,0,0,100,0,0,10,0,0,0,0,0,10,0,0,0,10,60,0,0,10,10,20,0,10,0,120,0,0,0,100,0,140,70,250,0,0,0,10,20,0,0,20,0,0,0,10,0,60,0,10,30,20,10,0,0,10,0,50,0,0,0,0,0,10,20,40,0,0,0,40,0,30,0,10,0,10,0,10,20,0,0,50,0,0,0,0,0,30,0,10,0,40,0,20,10,0,0,0,0,0,20,0,0,0,0,10,0,30,30,0,10,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,10,0,10,40,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,20,0,0,0,0,0,0,0,0,0,10,0,0,40,70,0,0,0,10,120,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152",0,0,0,0,0,0,0,10,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,10,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,20,0,0,10,0,0,0,0,0,0,10,10,0,90,70,70,10,60,160,0,0,10,40,50,0,0,20,0,10,0,10,0,0,30,30,40,0,30,0,10,20,0,0,0,10,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,20,0,10,0,0,0,0,0,0,0,0,0,0,20,30,0,0,10,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,10,10,40,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153",10,10,30,40,50,40,10,250,10,80,60,40,0,0,10,0,10,30,470,230,60,30,0,0,160,100,50,150,120,0,40,130,90,30,280,90,0,30,40,80,20,0,20,10,10,0,10,0,10,10,150,10,710,110,90,20,0,80,220,40,390,580,430,110,30,30,70,10,330,80,20,70,200,180,170,60,10,0,90,60,10,20,40,80,0,1070,0,0,10,40,60,70,10,50,70,160,280,20,70,80,150,90,80,70,90,50,310,10,30,490,40,90,50,10,20,0,60,50,70,0,30,0,170,80,120,170,130,170,70,110,110,90,30,20,30,460,90,110,90,80,30,90,30,240,110,130,70,0,20,1290,180,0,0,10030,1590,5750,2550,21740,910,710,750,590,520,500,500,200,430,620,370,350,470,1330,7820,440,2470,270,2140,210,11450,45370,380,400,120,850,920,840,260,1080,470,420,380,240,630,350,590,180,240,240,260,60,80,100,70,20,250,90,150,80,260,250,580,640,110,170,240,990,70,160,290,860,720,1620,720,450,200,50,100,80,60,270,20,50,10,50,30,10,130,250,80,170,190,290,240,160,200,70,50,70,70,0,0,30,70,100,530,50,70,60,50,800,70,240,250,4220,500,15320,180,230,32350,10,110,210,0,0,0,0,30,570,70,10,10,10,50,30,0,0,30,90,0,0,20,40,10,30,20,100,20,40,60,0,30,0,0,0,0,0,0,0,140,50,0,10,10,50,50,0,10,0,0,0,0,260,50,120,0,10,0,0,10,0,20,10,0,10,40,40,20,90,10,20,10,20,0,0,0,60,100,0,220,180,90,0,90,90,80,10,20,10,10,270,240,20,150,0,80,10,0,30,60,0,0,20,0,0,400,0,80,0,0,40,40,20,20,0,0,40,0,0,80,0,20,0,10,30,80,10,50,10,0,30,0,70,0,0,20,0,0,20,110,0,560,0,10,10,0,0,130,0,10,0,0,0,0,200,30,20,30,20,80,20,70,40,40,0,20,0,50,0,10,0,20,0,0,0,0,90,10,10,10,0,0,40,30,0,60,0,0,20,0,20,70,0,50,0,0,110,10,0,0,40,50,10,0,0,40,10,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,160
"154",30,10,0,60,0,10,140,190,30,20,0,20,0,10,10,50,0,0,160,20,10,40,0,0,130,20,80,550,440,40,80,250,120,140,370,150,0,240,10,200,100,0,20,50,0,10,10,0,90,10,270,40,950,50,150,120,10,330,330,140,410,980,530,140,20,60,50,30,340,210,30,180,200,130,140,40,10,10,120,120,130,130,80,80,0,570,150,0,10,70,50,40,10,40,20,120,490,10,10,100,80,50,20,50,80,80,100,20,30,260,70,60,60,70,20,120,50,40,20,40,20,0,290,70,40,130,250,400,90,90,120,180,110,40,10,370,70,160,90,30,10,20,0,140,40,10,50,0,30,1410,210,10,8750,0,2700,4950,5140,27800,1290,690,900,730,390,580,740,550,530,1160,560,870,600,3500,36850,580,2430,480,2360,360,56950,21590,440,330,120,1160,1830,600,220,1860,1200,500,480,640,630,130,430,430,240,140,240,30,140,30,200,60,490,190,240,70,180,200,610,740,50,380,240,1130,80,200,590,610,310,1690,640,160,260,40,100,180,170,300,30,160,40,10,70,60,20,280,20,200,210,380,510,150,250,200,20,40,80,0,0,50,70,20,390,0,30,60,180,570,60,540,250,4100,380,4260,330,480,4710,0,30,240,50,0,0,0,10,580,50,60,10,40,20,190,10,0,90,100,0,10,70,10,30,70,20,20,30,10,0,70,10,0,30,0,10,30,20,0,110,60,0,0,30,40,70,0,10,0,0,10,50,260,30,90,60,20,0,0,60,0,50,0,0,10,0,0,170,20,50,50,0,20,50,0,30,50,100,10,160,60,0,20,50,30,30,30,20,30,40,460,260,50,40,10,120,0,0,60,60,0,10,10,0,0,320,120,140,0,0,40,0,10,0,0,30,0,10,0,70,30,10,0,10,0,10,10,80,0,10,60,0,10,10,40,0,0,10,0,10,10,580,0,0,0,10,20,10,50,90,10,10,0,40,80,30,20,30,10,20,10,10,0,0,0,0,0,0,10,140,0,10,40,0,0,0,190,0,20,0,0,0,40,20,0,70,0,10,0,20,0,80,0,0,0,0,40,30,10,30,0,10,10,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,80
"155",0,10,10,10,10,30,100,190,150,90,10,70,20,30,10,20,30,10,770,40,50,80,0,20,100,20,260,200,460,60,170,130,80,160,620,240,20,140,0,100,20,10,30,170,0,50,0,10,90,40,170,150,2940,110,240,90,0,110,430,40,940,1050,1110,190,140,70,160,80,2160,300,80,230,430,300,630,80,100,70,190,150,400,140,360,20,0,2890,240,60,60,100,100,150,100,90,30,240,1190,50,90,140,100,180,50,80,60,20,120,80,10,1850,90,0,210,190,140,50,40,0,310,60,30,50,880,60,40,310,270,300,60,50,160,30,30,20,0,1440,240,440,210,50,180,40,180,730,350,160,70,40,0,3270,550,10,5410,8180,0,6730,5900,15990,1420,520,1200,510,480,250,820,570,320,1020,510,400,620,1230,13040,570,2930,250,5420,480,14450,11100,840,510,250,760,1110,640,330,760,550,420,290,230,480,280,240,310,210,490,120,90,230,90,280,170,560,70,250,80,470,340,540,630,210,1030,240,2690,220,300,310,1060,240,2360,1150,140,230,40,120,320,230,640,100,190,70,60,30,10,70,1210,70,340,140,180,160,320,210,120,110,330,110,0,30,70,210,70,870,10,90,20,140,2090,110,380,310,6920,560,7350,410,500,7830,70,100,870,130,0,10,10,130,2060,50,20,0,80,10,20,70,0,300,40,30,30,110,10,20,30,80,50,40,80,140,80,30,20,60,0,10,10,60,0,540,50,30,0,40,90,110,40,10,20,20,40,140,950,220,190,150,20,60,20,70,20,30,0,20,50,0,10,220,40,60,100,70,10,10,50,20,120,160,0,630,160,150,10,170,90,150,50,70,10,30,1040,760,70,90,30,350,20,0,140,400,20,50,0,0,0,1330,350,320,110,30,10,10,120,0,10,10,80,30,80,530,20,50,50,10,20,140,70,120,0,50,130,0,40,80,60,30,10,50,60,180,20,1970,70,90,40,30,30,140,0,20,10,0,0,0,660,130,10,90,50,0,0,310,30,100,10,70,60,30,0,200,40,20,10,20,10,0,430,60,0,0,0,0,30,0,0,220,20,50,10,10,10,180,10,30,0,0,270,140,10,30,50,20,50,0,20,130,40,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,20,280
"156",0,0,110,20,10,30,40,70,0,10,10,10,0,0,0,0,10,0,60,0,0,10,0,0,170,0,50,280,90,0,70,120,100,80,350,0,0,160,40,30,10,60,0,0,10,10,0,0,70,0,80,20,390,20,10,30,10,200,190,80,330,380,340,90,20,0,90,30,310,20,20,130,110,90,20,0,0,0,60,90,60,70,10,40,0,260,10,0,20,60,10,40,0,20,20,90,310,70,30,110,60,10,10,40,0,110,100,60,10,350,80,10,20,70,30,0,0,10,70,20,10,0,70,80,120,180,120,140,70,60,140,30,70,0,40,450,50,160,150,110,30,40,110,210,10,110,0,20,0,840,200,10,6260,4510,2910,0,7810,11530,1140,360,570,170,360,400,500,360,480,530,400,350,390,1430,7220,370,1700,230,1730,110,5930,6370,160,190,160,1270,1630,940,300,1020,660,530,270,170,250,160,500,70,250,440,160,30,60,10,60,100,210,80,230,100,300,250,840,800,130,320,60,860,130,190,220,330,370,850,410,150,120,30,190,160,110,150,10,60,20,10,0,20,10,150,90,120,100,140,120,200,90,30,60,100,0,0,30,0,20,40,20,60,20,30,70,320,10,910,440,17900,770,31880,410,610,10470,0,20,170,30,0,0,20,10,340,0,40,0,50,30,240,30,20,60,150,0,0,50,10,0,60,0,10,20,30,0,0,0,0,0,0,0,20,0,0,70,50,10,10,10,30,30,30,0,0,10,0,60,160,240,120,30,10,0,0,10,0,10,0,0,10,20,0,10,80,20,40,0,0,0,0,0,0,30,20,150,40,0,0,10,30,20,0,20,10,0,260,120,0,10,0,40,0,0,20,80,0,0,0,0,0,130,20,60,0,0,0,10,20,10,0,0,20,0,0,10,0,0,0,10,0,30,0,0,10,10,40,0,30,0,0,0,20,10,0,0,0,90,0,0,0,10,20,0,0,0,0,0,0,0,110,0,0,0,20,0,0,50,30,20,0,0,0,10,10,50,0,10,20,0,0,0,40,0,20,0,0,0,20,0,0,10,20,10,0,0,20,60,0,0,0,0,0,20,40,0,10,0,20,0,10,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"157",10,0,10,30,0,30,10,40,0,0,10,0,0,0,0,0,0,0,80,10,50,0,40,0,0,20,20,460,210,50,70,100,120,30,150,0,30,30,0,50,30,0,0,10,0,0,0,0,10,20,40,0,430,40,20,0,0,50,90,10,60,210,100,70,30,0,30,20,210,0,40,60,0,80,100,70,40,20,60,50,50,40,30,40,0,250,50,0,40,10,20,50,100,60,30,20,190,60,40,80,30,0,50,60,100,10,140,30,20,340,30,30,30,10,20,20,10,0,20,20,20,0,80,20,50,260,170,190,60,160,130,120,40,80,60,290,10,80,60,40,90,30,140,120,60,70,0,0,0,1460,110,30,3030,7660,1820,6290,0,8720,670,250,510,180,550,210,370,430,240,320,680,540,360,2690,23380,190,1350,60,1300,240,12890,4080,300,130,60,670,1120,600,220,640,480,200,150,150,160,90,280,150,150,60,30,10,60,10,70,70,270,100,140,100,220,240,460,920,30,280,10,560,20,130,200,390,170,670,330,200,60,10,10,130,20,250,0,40,0,0,40,20,20,210,20,40,40,90,170,140,40,70,80,90,300,0,0,20,30,0,280,80,20,0,50,340,10,770,190,4360,540,3470,200,280,2730,0,20,70,0,0,0,0,0,230,0,0,80,10,30,100,20,0,60,60,0,20,10,30,20,20,0,0,50,30,30,0,80,10,10,0,0,0,20,0,140,0,0,10,30,10,0,0,0,0,0,0,10,220,30,0,110,20,0,0,20,0,10,0,0,0,0,0,30,0,10,10,0,10,0,0,0,0,30,0,100,70,0,40,60,90,10,0,20,40,0,170,50,10,0,0,100,20,10,0,10,0,10,10,0,0,320,190,130,0,0,0,80,40,10,0,10,20,10,0,40,0,0,10,190,130,30,20,80,30,0,280,0,40,20,70,0,170,0,0,20,0,290,0,40,70,20,50,30,0,10,10,0,0,0,210,20,0,0,10,50,0,90,10,0,0,0,0,0,10,10,0,20,20,0,0,0,140,30,0,0,0,10,0,50,0,20,10,0,0,0,20,50,0,0,0,0,60,0,0,0,20,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
"158",10,0,20,30,40,0,60,90,30,20,10,40,10,10,0,20,10,0,70,0,50,0,10,40,130,70,40,30,90,30,20,70,40,140,180,10,0,60,0,20,50,0,0,0,0,0,0,0,0,50,40,0,310,0,110,0,0,30,70,30,290,310,20,130,40,20,70,40,120,0,10,20,10,0,30,50,40,10,110,30,160,0,0,40,30,480,10,10,0,10,70,30,50,40,10,40,110,20,40,0,100,60,0,50,150,90,50,0,10,250,0,90,10,70,100,20,10,20,20,20,0,0,50,220,160,100,130,120,110,100,30,130,10,70,0,350,60,40,180,30,0,10,210,50,140,130,20,0,0,650,90,20,5380,5180,2340,5220,2760,0,4710,1460,530,470,390,930,520,250,500,710,1200,530,390,1540,6410,420,8280,320,1590,120,5300,10560,210,310,130,350,480,210,120,250,280,160,190,170,140,50,140,110,80,80,30,50,110,10,60,30,250,140,40,10,120,40,140,320,0,100,90,290,80,20,250,240,170,690,230,10,90,50,30,30,120,120,0,10,10,0,20,10,70,160,40,60,80,200,100,160,30,100,0,40,20,0,30,10,70,60,70,10,10,20,50,320,50,740,580,4070,410,3180,170,360,3670,10,60,60,0,0,0,10,10,200,10,10,20,20,0,50,0,0,30,20,0,10,80,0,30,10,0,20,0,0,20,50,0,0,0,0,10,0,0,0,30,30,40,0,10,40,10,0,10,0,0,0,100,130,0,30,50,0,0,30,0,0,0,10,0,0,0,0,30,30,0,0,0,10,0,40,0,0,0,130,0,90,10,0,40,120,20,0,40,40,0,170,200,10,0,50,0,0,0,0,20,0,20,0,0,0,90,30,0,0,0,0,10,10,20,0,20,0,0,10,30,0,0,0,0,0,70,0,10,0,0,0,0,0,0,30,0,10,0,0,0,0,200,0,70,0,0,0,10,10,10,0,0,0,10,30,40,0,30,30,20,0,10,0,10,0,0,20,0,0,10,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,50,0,0,0,10,0,10,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"159",0,0,0,30,0,10,0,40,0,0,0,20,0,20,0,0,20,0,30,20,0,0,0,0,0,30,0,20,90,90,0,10,0,20,90,20,0,0,0,0,0,10,0,20,0,0,0,0,0,0,10,0,330,0,40,0,10,0,0,90,80,150,10,10,10,0,40,0,20,0,10,0,30,0,0,170,60,10,50,40,80,30,40,10,0,110,30,0,20,50,0,10,0,0,50,70,60,0,0,0,20,10,10,100,30,20,30,70,0,70,20,0,10,10,20,0,0,0,0,0,0,10,60,40,50,220,70,40,30,30,40,30,40,0,0,80,30,40,20,20,10,40,20,30,20,90,50,10,0,540,100,0,2190,2790,600,2200,1220,5820,0,2370,630,310,220,130,70,180,200,220,80,160,290,510,2140,580,1490,5160,1850,120,1710,1920,300,90,70,60,160,10,10,150,30,60,60,40,20,20,40,10,50,30,40,10,20,20,10,30,40,0,10,0,50,20,30,100,0,30,10,70,0,10,10,60,30,150,100,30,110,0,10,70,20,60,0,10,60,0,40,10,0,10,40,50,20,0,0,20,0,60,10,10,0,0,0,20,0,40,80,0,0,10,30,80,0,160,820,1030,200,1450,30,220,1470,0,0,50,30,0,0,0,0,60,10,0,0,40,0,10,10,0,0,0,0,0,0,0,0,0,10,10,0,0,30,0,0,0,0,0,0,0,0,0,30,20,0,80,0,10,50,30,60,0,20,0,0,50,0,110,60,0,0,0,10,0,40,10,0,50,0,0,40,130,10,100,0,0,0,20,0,30,120,0,10,60,70,0,10,20,10,10,10,10,0,10,0,0,30,10,100,10,0,10,0,10,0,0,0,0,60,0,0,0,0,0,50,20,0,0,0,0,10,0,10,0,0,0,0,10,60,0,0,0,0,10,0,0,40,0,0,0,0,0,70,0,70,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,40,0,0,0,160,0,0,0,0,20,80,50,0,0,10,0,40,0,0,0,0,30,50,0,0,0,0,40,0,0,0,0,0,70,0,0,60,20,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,80
"160",0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,10,0,0,40,10,0,0,0,0,0,0,0,0,10,50,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,20,10,50,40,40,70,50,90,10,50,0,0,0,20,20,20,40,30,20,20,40,240,10,10,10,0,160,10,40,60,30,20,20,10,80,10,10,30,10,10,40,0,10,0,110,20,30,70,20,10,110,0,0,0,20,60,0,0,90,20,30,0,0,10,10,10,80,10,170,50,70,30,0,0,20,0,190,10,30,10,20,20,0,20,60,0,80,0,10,20,200,100,0,2130,2410,680,1780,1160,3790,4080,0,2360,1020,640,390,80,90,140,640,30,360,620,680,1960,1540,920,1170,4410,80,1940,1800,1430,100,50,140,60,90,0,120,10,10,80,10,20,60,20,20,20,20,10,40,0,30,10,0,20,0,10,0,0,30,50,20,10,30,0,130,0,50,60,60,10,110,70,0,10,20,50,50,10,40,0,60,10,0,0,0,0,20,0,40,0,10,10,20,20,10,20,10,0,0,0,0,0,10,0,0,10,0,10,140,0,180,760,970,240,1210,130,290,920,0,0,50,30,0,0,10,0,100,10,10,10,10,0,0,0,0,0,10,0,30,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,30,0,20,50,30,110,0,50,10,30,10,70,150,340,0,10,10,40,20,30,0,10,0,110,10,0,20,30,0,0,10,0,0,0,20,60,0,10,90,30,40,50,100,0,0,20,20,0,50,60,0,0,0,10,30,0,0,0,0,0,0,0,0,0,0,10,0,0,0,20,10,20,0,0,0,0,0,30,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,90,0,0,0,0,0,0,110,0,0,0,40,70,0,0,0,0,0,0,0,70,0,0,0,30,0,0,0,10,0,0,10,40,0,0,0,0,0,0,0,0,0,10,0,30,0,0,0,0,0,20,0,40,40,0,20,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161",0,0,10,10,0,20,100,70,40,150,90,0,20,10,0,0,40,10,180,30,10,10,30,0,60,10,70,330,90,90,60,70,270,110,330,50,40,110,80,100,70,50,40,10,0,120,50,0,0,0,60,10,620,0,110,0,0,0,240,60,230,180,170,30,10,80,30,0,260,100,20,10,80,50,90,150,140,50,130,210,180,70,120,70,10,710,50,0,240,40,20,40,0,100,40,160,340,40,90,80,230,140,200,230,60,100,20,20,30,800,90,250,130,30,30,130,0,120,140,60,20,0,230,250,150,300,110,200,300,230,210,100,140,30,120,440,10,290,540,50,120,100,230,500,90,190,40,20,10,2380,250,10,4730,3470,1510,2320,1180,4700,1690,3130,0,6640,3490,2800,940,1060,2130,9940,720,2050,2150,2580,4050,36530,1370,520,9980,310,3190,2280,8060,1570,720,1560,1040,210,140,1700,430,320,360,150,260,130,230,140,100,90,40,10,70,90,120,30,260,110,110,60,20,80,160,270,30,140,50,450,70,40,400,600,180,950,350,40,90,0,90,180,40,190,60,140,60,10,60,130,130,400,150,200,30,140,260,80,60,30,50,140,60,10,30,20,60,0,200,10,10,30,110,500,30,440,230,2150,500,1960,310,580,2070,20,110,350,120,0,50,0,70,760,40,10,30,50,0,0,20,0,100,80,0,10,40,0,50,20,50,10,20,40,30,40,140,20,20,0,0,0,50,0,160,60,10,0,10,10,60,0,220,0,0,0,60,210,10,150,140,20,0,0,20,30,210,10,0,0,40,0,140,80,80,60,60,0,0,10,10,20,70,10,210,210,90,20,70,120,40,0,50,50,40,220,280,70,170,10,40,10,0,20,50,0,0,0,0,0,250,0,30,20,0,0,0,150,0,0,0,20,20,10,50,30,0,0,0,0,80,30,40,10,0,0,0,20,10,20,0,40,0,10,70,0,500,0,0,0,10,20,80,40,0,40,0,0,30,130,0,0,60,10,20,10,0,0,0,0,20,0,30,0,20,0,0,0,10,0,0,110,30,0,0,0,40,10,10,0,30,100,0,10,0,40,80,0,0,0,0,10,40,0,40,10,10,0,0,0,30,20,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,10,130
"162",0,20,0,0,0,50,0,120,20,0,0,0,20,0,30,0,0,0,30,0,0,0,0,0,40,0,0,0,30,0,0,10,0,0,40,10,0,10,10,0,50,0,30,20,0,0,0,0,0,0,20,0,100,40,30,0,0,0,30,140,20,10,0,30,10,0,30,40,50,130,0,50,0,0,0,60,80,0,150,100,200,270,30,20,0,110,10,0,40,50,80,90,0,30,70,270,110,0,20,60,10,40,100,270,50,20,80,10,10,210,30,0,30,0,0,40,0,10,60,20,0,0,10,20,30,70,0,110,50,10,20,30,30,0,10,180,60,130,50,70,30,30,60,120,50,40,10,0,0,680,40,0,1370,2040,530,1210,970,2320,580,750,6670,0,1980,920,190,210,360,2340,350,440,590,1730,2130,2070,820,320,14200,140,2280,1080,3030,1010,300,190,200,100,80,90,40,20,40,30,20,20,20,20,0,20,10,0,0,10,0,20,50,30,30,20,40,10,70,130,10,40,0,70,20,10,0,60,20,200,90,50,50,40,50,70,40,20,0,90,40,0,0,80,0,20,20,20,0,10,20,70,0,10,0,40,0,20,90,0,0,10,30,0,0,0,0,110,10,70,90,1060,210,1460,320,430,1140,10,0,60,10,20,0,0,0,190,10,0,0,0,0,0,0,10,40,0,0,10,0,0,0,30,0,0,0,0,0,0,10,0,0,0,0,0,0,0,40,220,20,0,0,70,50,0,70,0,0,0,0,140,20,180,140,0,0,0,0,40,30,0,0,0,0,0,10,60,30,0,30,0,0,50,0,70,40,10,20,0,40,20,60,60,50,0,20,0,40,120,200,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,70,10,0,20,0,0,0,30,10,20,0,20,0,10,0,50,0,0,0,0,40,0,0,0,30,0,0,0,20,80,0,20,0,0,0,30,10,10,0,0,0,0,0,0,20,0,0,0,0,0,20,10,0,60,0,0,0,0,0,0,0,0,0,70,0,0,70,0,0,0,0,0,0,0,0,30,0,0,10,0,30,20,0,0,0,0,40,0,10,0,10,0,20,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,100
