"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
"20",90,0,40,0,10,10,10,10,0,0,0,30,0,0,0,0,0,0,0,0,30,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,30,0,0,0,0,0,0,0,0,0,130,0,0,0,0,20,10,0,0,10,0,0,0,120,10,0,0,10,0,0,0,0,10,20
"21",0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,30,0,0,0,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,140,0,0,0,0,0,0,10,0,0,0,0,0,80,0,10,10,0,0,0,0,0,0,0
"22",10,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,80,0,0,0,0,10,10,0,0,0,0,0,40,1110,0,10,0,0,0,0,0,0,0,0,0,40,280,20,30,20,0,0,0,0,20,0,10
"23",0,0,0,0,0,0,90,10,0,10,0,0,0,0,10,0,0,20,0,50,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,20,20,0,10,0,0,0,280,30,10,0,0,0,0,0,30,0,0,0,0,360,60,0,0,0,0,0,0,0,20,0
"24",20,0,10,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,50,0
"25",0,0,10,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,10,60,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"26",0,0,20,0,0,0,30,0,0,0,0,20,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,10,0,0,0,0,0,10,160,0,0,0,0,0,0,0,0,0,0,0,0,60,70,0,0,0,0,0,0,0,0,0
"27",0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,10,20,0,0,0,20,0,10,0,0,0,0,0,0,0,0
"28",0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,40,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,40,0,0,0,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,40,10,0,0,10,0,0,0,0,10,0,0,10,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,120,30,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
"31",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,60,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0
"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"33",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,40,0,0,0,0,0,0,0,10,0,0,0,0,10,20,0,0,0,0,0,0,10,0,0
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,10,0,0,0,10,10,0,0,0,0,0,0,0,0,0
"35",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",10,10,10,0,0,0,70,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,10,0,0,10,10,0,0,0,0,0,0,0,0,170,0,0,0,10,0,0,0,0,0,0,0,0,170,60,10,10,0,0,0,0,0,0,20
"37",10,0,40,0,0,10,30,0,10,0,0,10,10,10,0,20,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,10,0,0,40,0,0,0,0,0,10,0,0,0,0,0,0,280,0,0,0,0,0,50,0,0,0,0,10,0,70,70,0,0,0,0,0,0,50,10,50
"38",0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,50,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,50,0,0,0,0,0,0,0,20,0,0,0,0,60,20,0,0,0,0,0,0,0,0,10
"39",20,0,40,0,0,0,150,0,0,40,0,0,0,20,0,0,0,0,0,10,0,20,10,0,0,0,0,0,0,0,10,0,0,0,0,0,50,0,0,0,0,20,0,0,10,0,10,0,30,10,0,0,0,0,370,10,20,0,0,0,10,0,10,0,0,70,20,240,60,10,10,10,0,0,0,0,90,60
"40",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,0,0,50,0,0,0,0,0,0,0,20,0,0,10,0,0,0,0,0,0,0,0,0,10,0,50,30,0,20,0,0,0,0,0,0,0
