"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
"21",29500,2100,5080,300,120,240,80,320,280,320,800,20,3060,300,80,320,1020,80,1540,200,0,4380,0,0,20,260,20,60,60,0,0,0,20,20,200,120,60,0,20,40,100,20,80,2080,120,0,20,220,880,0,120,60,20,80,0,40,0,240,0,180,0,180,0,0,0,160,0,140,120
"22",14900,680,460,100,40,40,100,40,380,220,260,40,2980,820,20,0,20,40,580,40,5020,0,20,20,20,20,0,0,40,0,0,0,40,80,20,80,0,0,140,100,20,0,0,2140,120,0,40,40,680,0,220,0,0,0,0,0,20,0,0,60,0,60,0,0,40,200,0,40,140
"23",1200,0,40,0,0,0,0,20,0,0,0,0,20,0,0,60,20,100,0,0,0,0,0,360,0,120,0,60,40,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,60,220,0,160,40,0,0,0,0,600,0,0,40,0,20,20,0,0,20,0,0,0
"24",1660,60,60,20,0,0,0,20,0,0,0,0,120,40,0,40,20,100,0,0,0,20,260,0,0,140,0,0,60,120,20,0,0,0,20,0,0,0,0,0,0,0,0,40,0,0,0,40,140,0,0,0,0,0,0,20,40,0,0,20,0,0,0,0,0,0,0,0,0
"25",2160,280,300,260,0,40,80,780,80,60,0,0,240,20,100,160,20,660,100,20,120,20,20,0,0,3420,240,60,20,0,0,0,0,20,0,0,0,0,0,0,60,0,0,100,0,0,0,500,100,60,40,0,20,0,60,0,40,20,20,0,0,20,20,0,0,40,0,0,0
"26",3400,440,760,380,40,80,0,2020,20,120,80,0,400,60,20,580,40,440,40,20,120,40,20,40,1740,0,340,160,20,0,40,20,0,0,0,20,0,0,0,0,60,0,0,380,60,0,20,900,100,20,0,0,0,40,0,0,140,60,60,0,0,0,0,0,0,0,0,20,0
"27",1720,400,360,300,20,40,60,480,180,0,0,0,120,0,0,960,60,160,0,120,40,20,0,20,660,1780,0,340,20,0,0,0,40,0,0,0,0,0,0,0,0,0,0,240,0,0,0,160,100,0,60,0,0,0,0,0,20,0,20,20,0,0,0,0,0,20,20,0,0
"28",300,100,160,120,0,20,0,200,40,0,100,0,380,0,0,320,40,20,20,40,40,20,0,0,200,620,220,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,20,0,0,260,40,0,20,0,0,0,0,0,40,0,0,0,0,20,0,0,0,0,0,0,0
"29",2040,100,80,20,20,40,0,80,40,200,60,20,320,20,4220,0,0,180,20,120,140,80,0,20,0,80,20,0,0,160,280,20,0,20,80,40,20,0,40,20,60,0,0,200,20,20,0,40,80,0,0,0,0,0,0,0,0,0,40,160,20,20,0,20,20,60,0,20,20
"30",2300,20,20,0,0,40,0,20,0,20,0,0,180,0,260,0,0,100,0,0,0,0,0,20,0,0,0,0,360,0,500,20,0,0,20,0,0,0,0,40,20,120,0,40,0,0,0,20,80,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,20,0,0,0,0
"31",1100,0,40,20,0,0,20,0,20,0,0,0,240,0,280,120,0,1780,0,0,0,0,0,1900,20,60,0,0,1740,560,0,40,20,20,40,0,40,0,0,0,60,40,0,140,0,0,0,20,180,0,0,80,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0
"32",3800,580,220,0,0,20,40,60,0,40,60,0,460,0,20,20,0,20,0,80,160,0,0,0,140,40,0,0,0,0,0,0,2940,1600,440,260,120,40,100,220,360,100,400,300,920,0,1100,80,1240,480,280,1200,0,60,0,0,0,120,0,260,0,40,0,20,120,200,0,140,140
"33",4640,460,420,0,0,0,0,40,60,20,120,0,600,20,0,20,0,0,0,0,200,0,0,0,0,120,0,20,0,0,0,3300,0,4180,480,120,60,60,380,320,360,240,80,280,1160,80,1820,80,2360,120,540,260,40,140,0,60,40,320,0,340,0,60,20,0,80,260,0,0,40
"34",3600,300,340,0,20,20,20,20,100,0,20,0,400,0,0,60,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,940,3440,0,660,20,60,140,120,220,160,280,20,260,940,20,1660,60,2160,260,200,20,0,40,0,40,0,940,20,640,160,100,0,0,160,180,20,120,100
"35",10520,660,480,140,0,20,160,20,200,20,100,0,2820,160,100,20,0,0,0,0,340,60,0,0,0,80,20,0,40,0,0,160,480,360,0,4260,5100,4640,1680,160,2520,2860,920,200,1600,220,240,80,2740,940,180,120,100,60,60,20,120,620,220,1180,100,440,40,320,780,620,260,840,1240
