"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
"29",23,27,220,283,12,77,354,649,20,40,973,56,60,411,49,9,111,599,35,47,102,24,199,38,38,34,8,1169,0,136,63,16,70,6,379,34,22,213,60,9,726,3,74,15,40,196,41,120,7,46,263,282
"30",35,418,2825,688,6,50,527,772,53,159,220,172,128,108,75,85,114,378,54,46,120,45,296,44,84,84,11,1511,152,0,187,12,62,11,189,72,11,113,62,13,185,29,144,17,101,829,47,55,12,117,16,40
"31",214,20,233,32,2,34,108,346,79,30,70,36,39,19,37,0,30,75,21,723,23,97,77,33,42,687,13,509,104,101,0,28,51,23,69,27,26,42,81,7,73,38,55,24,21,150,45,239,11,464,6,13
"32",47,3,99,5,9,9,134,327,8,13,20,18,2,3,540,4,63,12,11,57,8,7,10,158,20,35,241,392,24,21,33,0,83,2,218,926,15,107,43,6,25,3,29,5,37,67,32,130,25,44,4,3
"33",50,15,499,45,12,43,538,392,65,44,75,61,30,33,306,6,40,75,33,65,30,21,12,638,35,83,385,1183,146,110,112,78,0,42,494,167,65,429,366,22,58,11,107,16,86,179,135,180,83,74,13,18
"34",39,3,60,2,15,12,59,70,162,15,13,10,6,0,21,0,5,6,1,37,4,7,7,139,5,39,8,304,32,19,38,13,62,0,67,23,19,46,227,31,13,20,15,1,12,34,382,102,48,28,1,3
"35",43,59,268,106,24,155,470,521,47,56,1003,56,45,214,709,8,88,192,46,93,89,16,75,102,41,34,81,1331,461,195,63,110,267,20,0,805,56,1459,146,12,882,5,107,13,108,348,93,190,38,109,47,125
"36",52,4,201,23,7,11,535,375,29,15,109,53,12,12,1400,1,60,30,13,111,29,24,7,106,48,25,288,739,78,57,58,714,99,8,1351,0,27,565,43,9,41,1,46,7,29,126,65,76,28,41,5,10
"37",30,3,181,13,123,58,171,196,107,238,41,53,19,8,53,4,52,24,19,118,18,11,14,108,17,56,10,1006,42,37,55,13,80,22,157,34,0,86,47,45,38,20,61,7,67,99,214,116,163,63,4,3
"38",38,22,199,60,20,77,294,423,33,39,384,46,31,86,239,6,59,131,24,81,48,18,39,76,26,30,21,958,284,97,64,54,218,24,1157,253,33,0,92,19,355,10,73,10,61,230,92,124,22,91,21,56
"39",81,6,167,15,14,15,117,196,158,21,34,24,16,19,87,0,17,9,13,112,21,9,6,78,13,74,23,655,75,56,72,32,354,155,171,61,30,133,0,13,52,7,50,2,17,101,95,1153,10,81,7,8
"40",3,2,73,5,60,10,33,31,77,17,26,14,17,6,9,3,11,9,15,7,9,4,3,22,21,4,5,958,9,20,11,9,24,23,16,8,31,17,23,0,16,19,8,0,27,48,213,11,12,12,5,2
"41",26,27,295,127,7,346,1810,925,35,68,1434,167,79,588,64,13,139,294,29,64,1062,34,153,25,48,89,1,1106,1156,172,78,19,45,12,960,36,19,489,57,9,0,6,133,23,76,282,38,53,9,101,153,55
"42",21,3,26,6,0,11,24,100,58,14,15,17,7,17,5,2,6,3,18,17,8,4,8,7,8,64,5,285,8,18,75,0,14,24,4,4,12,5,17,25,13,0,27,14,12,13,79,34,11,201,3,1
