"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
"32",0,0,0,0,10,0,0,30,0,60,0,90,0,60,140,30,30,0,10,10,50,160,20,0,170,150,220,40,380,10,290,0,40,30,120,190,0,60,0,10,30,10,0,0,0,0,520
"33",0,0,0,0,20,60,0,0,80,10,10,70,0,0,90,0,0,0,20,0,20,50,0,10,30,80,120,0,730,210,60,70,0,340,30,40,0,0,60,110,0,60,0,10,0,0,630
"34",0,20,0,0,20,0,0,50,0,150,0,90,30,0,200,0,10,0,110,60,0,50,80,0,0,130,10,0,280,270,360,90,60,0,140,20,0,20,20,0,10,140,0,0,0,0,670
"35",0,10,0,10,0,0,0,30,0,10,0,20,0,0,110,80,40,0,60,0,0,40,0,0,130,280,0,10,550,0,0,60,60,0,0,270,0,10,50,0,40,30,0,20,0,0,210
"36",0,0,0,0,0,10,0,30,10,10,20,150,0,0,20,0,0,30,0,0,10,40,10,10,30,160,0,0,150,20,0,300,0,10,200,0,30,10,0,0,50,20,0,0,0,0,200
"37",30,0,0,0,0,50,0,30,40,0,10,410,0,20,70,60,0,0,10,0,0,380,0,20,0,260,10,130,290,0,10,160,50,0,40,0,0,190,200,100,360,550,0,10,0,0,800
"38",10,0,0,0,0,0,10,20,0,10,0,80,0,0,90,10,0,0,40,50,0,90,0,0,70,120,0,0,170,0,30,0,30,0,20,50,190,0,130,130,130,10,0,0,0,0,880
"39",30,0,0,0,0,0,0,60,0,0,0,50,0,0,60,20,0,0,10,0,0,90,0,10,0,280,20,10,100,0,0,0,10,0,10,40,30,330,0,30,400,120,0,0,0,10,730
"40",0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,20,0,10,0,0,30,0,10,0,20,0,0,220,0,0,0,80,60,0,50,70,10,0,0,150,60,20,50,0,40,240
"41",0,0,0,10,20,0,0,10,0,10,0,130,0,0,50,40,30,0,20,0,50,120,30,10,20,440,10,20,290,0,10,100,70,30,170,280,0,170,310,140,0,390,10,0,20,0,460
"42",20,20,10,10,0,0,0,60,0,60,20,340,0,0,380,0,60,10,10,0,10,320,10,30,70,190,10,10,460,0,40,0,20,0,10,0,90,60,20,140,20,0,200,190,160,70,880
"43",0,0,60,0,0,0,0,0,0,0,0,10,0,0,10,10,60,0,0,30,0,60,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,10,10,0,100,0,140,0,100,110
"44",0,0,0,0,0,0,0,0,0,0,10,40,0,0,20,10,20,0,0,10,0,10,0,0,10,110,50,0,110,0,0,0,0,10,0,0,10,10,20,50,10,160,140,0,50,10,350
"45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,20,0,0,50,0,0,10,0,0,0,0,0,0,50,350,0,0,110,80
"46",0,0,10,0,0,90,0,160,10,0,0,110,0,20,60,0,0,0,0,0,0,220,0,0,10,60,0,0,100,0,0,0,0,0,0,0,30,0,0,0,10,0,10,10,40,0,100
"47",900,360,650,140,870,780,400,1010,1280,1310,750,10840,1290,610,1750,1160,730,150,910,670,430,1760,410,430,820,720,1420,1270,1210,1290,540,670,220,580,260,110,530,990,590,140,270,910,140,390,130,160,0
