"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
"11",10,10,90,10,40,0,90,70,20,20,0,10,130,0,30,10,10,20,0,60,40,10,0,60,0,0,0,40,80,10,20,0,30,0,0,20,0,10,10,0,30,20,20,20,0,0,30,0,10,10,830,30,40,100
"12",10,0,20,0,0,0,10,130,90,10,0,0,20,0,80,0,0,0,0,10,0,10,0,0,0,0,0,10,100,0,0,50,0,0,0,0,0,0,10,20,10,0,0,10,0,0,60,0,0,0,780,70,0,220
"13",80,40,20,40,40,0,0,210,90,120,10,40,0,60,40,40,0,40,10,20,0,10,0,40,20,10,0,20,60,20,0,20,0,0,0,10,10,10,0,0,0,20,30,0,10,10,60,30,0,30,1120,110,10,170
"14",30,0,40,0,0,0,0,30,60,30,0,0,0,0,40,0,0,0,0,10,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,280,10,0,10
"15",0,0,10,0,0,0,0,0,70,10,0,10,20,20,0,0,0,30,50,210,40,10,20,0,0,10,10,0,90,10,30,0,0,10,20,10,0,0,0,0,10,20,20,0,20,0,50,10,0,0,650,20,0,50
"16",0,0,0,0,0,0,0,0,80,0,0,0,20,20,0,0,0,0,0,30,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,320,70,0,60
"17",40,0,0,0,0,0,20,0,160,0,0,0,0,0,0,20,0,70,0,70,10,0,0,0,0,0,0,0,20,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,160,10,0,60
"18",70,0,0,0,30,20,0,10,10,0,40,0,10,0,30,10,0,0,0,400,130,10,20,0,130,0,0,0,80,0,0,0,20,0,0,0,0,0,60,10,0,20,0,10,0,0,10,0,10,10,440,10,10,10
"19",0,0,0,0,0,10,0,0,30,0,0,0,0,0,60,0,0,70,0,190,50,0,10,0,0,0,0,10,40,10,0,0,50,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,10,330,30,0,0
"20",80,60,40,0,20,20,20,10,80,20,110,0,20,10,40,50,40,270,110,0,170,10,110,30,110,20,30,30,330,20,30,10,40,20,20,30,0,0,150,70,20,50,10,10,10,0,20,10,20,0,580,70,20,90
"21",20,0,0,10,0,10,10,0,50,20,0,0,10,0,40,10,20,140,10,340,0,0,30,0,0,0,0,0,50,0,0,0,10,0,0,0,0,0,0,0,0,0,10,10,10,0,30,0,20,10,300,40,0,20
"22",30,40,30,30,30,20,0,0,20,0,0,0,40,0,0,0,0,0,10,40,0,0,130,120,90,0,0,0,240,0,0,10,50,10,10,10,0,0,60,0,20,30,10,20,0,10,10,0,10,0,430,80,20,20
"23",0,70,60,20,50,50,20,0,180,20,10,20,20,0,20,40,30,40,0,180,10,460,0,390,850,1260,10,70,590,20,20,40,190,180,210,170,40,20,200,190,30,70,40,140,20,0,20,20,50,30,860,120,60,220
"24",50,10,40,50,80,30,0,20,70,20,0,20,10,10,0,0,0,20,0,50,10,510,250,0,210,150,10,110,500,40,20,0,60,10,10,10,0,20,40,10,20,50,40,50,0,10,0,0,0,0,810,20,0,80
"25",50,20,40,10,50,0,10,0,70,10,40,10,0,0,0,0,0,20,0,100,0,270,70,30,0,400,0,10,140,10,30,0,40,10,0,20,0,40,50,20,0,30,20,20,50,30,10,0,10,20,530,40,10,30
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,10,0,50,0,0,0,0,20,100,0,10,0,20,10,10,0,0,0,0,0,0,0,0,0,0,0,0,10,30,0,70,0,10,10
"27",0,0,10,0,0,0,0,10,0,10,10,0,0,0,0,0,0,0,0,30,0,0,30,30,10,0,0,10,310,250,0,10,20,10,0,70,0,60,10,20,10,0,0,40,0,0,0,0,20,0,240,20,0,30
"28",0,0,10,0,0,0,0,0,10,0,0,30,10,20,0,0,0,10,20,40,0,10,60,30,10,110,0,0,380,20,0,10,100,20,30,450,40,90,50,40,0,80,10,10,10,0,10,40,20,0,140,0,0,10
"29",140,40,190,100,150,40,30,20,190,70,50,100,190,20,100,30,20,140,20,350,60,230,900,460,390,1030,650,920,0,1040,410,2170,1090,920,960,2850,430,5010,770,270,220,510,90,280,190,120,220,110,150,60,2060,230,180,240
"30",0,10,20,0,30,0,0,0,70,0,0,0,0,0,0,0,10,10,10,60,0,0,40,20,0,0,140,50,590,0,10,10,60,20,10,90,20,40,100,120,50,0,10,100,10,0,30,0,0,0,360,10,30,90
"31",20,0,0,0,0,0,0,0,0,0,0,10,10,0,10,0,0,0,0,110,20,30,10,0,20,30,0,30,200,10,0,0,130,40,10,10,110,0,70,0,10,20,10,20,10,0,10,0,30,0,70,20,0,0
"32",50,0,10,0,0,0,0,0,0,20,10,0,20,10,0,0,0,0,0,30,0,0,40,30,60,0,10,0,500,40,0,0,30,50,0,40,0,10,100,70,40,10,0,20,0,0,10,0,10,30,190,0,30,40
"33",10,0,40,0,50,0,20,0,20,0,0,50,30,10,10,0,0,20,0,60,0,10,80,10,40,200,20,60,760,20,50,0,0,30,110,110,170,90,50,0,90,30,10,90,30,30,50,10,20,50,230,70,0,0
"34",30,0,20,0,10,20,0,10,20,20,0,0,10,20,0,0,0,10,0,140,0,0,30,40,10,80,0,100,560,10,20,10,10,0,50,60,20,10,20,30,60,60,0,100,10,10,60,40,10,0,140,50,10,130
"35",0,30,0,0,10,10,0,0,0,0,0,0,20,0,0,10,0,0,20,40,0,0,90,10,10,0,0,50,420,100,10,30,70,0,0,10,0,0,20,0,40,80,20,40,0,30,0,0,0,0,260,40,10,10
"36",30,10,0,0,20,0,0,0,20,0,0,0,20,0,0,0,0,0,0,90,0,20,60,50,30,0,20,10,710,240,0,10,30,10,40,0,70,30,160,20,100,90,40,90,0,40,10,0,40,20,300,40,40,40
"37",0,0,10,0,0,0,0,0,10,0,10,0,40,10,0,0,10,10,0,40,30,0,0,30,10,0,0,10,140,0,20,20,70,60,40,10,0,0,90,0,40,10,0,0,0,0,0,0,0,0,70,20,0,0
"38",50,10,0,0,10,10,0,10,30,0,0,0,10,0,10,0,0,10,0,30,0,0,0,0,0,0,20,0,530,30,10,0,0,0,10,10,0,0,30,0,20,10,0,20,30,0,10,10,0,10,40,0,0,0
"39",20,40,50,0,30,20,20,0,30,30,20,40,10,0,20,0,10,40,0,80,10,10,60,50,110,0,80,100,810,190,20,40,70,50,120,70,10,40,0,140,50,60,10,50,40,10,50,0,0,50,690,40,30,20
"40",0,0,10,10,20,0,10,10,0,50,0,0,10,0,10,0,10,10,10,20,0,20,30,0,30,0,60,50,350,260,0,10,50,10,20,60,10,20,60,0,40,20,50,70,0,30,40,10,0,10,190,30,20,0
"41",10,0,20,0,20,0,0,0,10,0,0,0,20,0,10,0,0,0,0,70,0,10,30,30,10,0,40,30,400,70,10,0,0,20,10,60,0,40,130,130,0,10,20,120,10,0,10,0,10,10,330,30,0,0
"42",0,0,40,0,30,0,0,0,60,10,100,0,20,0,0,10,0,10,0,40,0,10,80,0,100,0,30,0,320,40,0,30,20,0,10,70,40,10,30,10,100,0,40,50,40,0,260,10,30,60,1350,140,60,320
"43",10,30,80,0,0,0,0,0,30,0,20,0,40,0,0,0,0,0,0,60,0,0,0,40,20,0,10,10,80,20,0,20,20,0,0,30,20,20,0,10,0,60,0,30,0,10,40,10,10,20,1580,50,10,710
"44",20,10,40,10,40,20,0,0,50,10,0,0,80,0,0,0,0,0,0,70,0,0,90,60,0,0,10,0,240,50,0,20,30,10,20,10,10,0,40,30,30,50,30,0,0,60,0,10,0,0,1020,80,0,60
"45",10,10,0,0,10,0,20,0,40,0,10,0,20,20,0,0,0,0,0,0,0,0,0,0,10,0,40,20,130,20,0,0,20,0,40,40,10,0,60,20,10,30,110,60,0,20,10,20,20,0,480,40,0,290
"46",20,0,70,0,40,0,0,0,0,0,20,20,20,0,0,40,0,0,0,50,0,0,10,90,0,0,0,0,70,10,10,0,0,0,20,20,20,10,0,10,40,10,40,110,0,0,30,0,10,0,380,30,0,210
"47",0,10,90,0,50,20,20,30,60,0,10,10,70,0,10,0,0,40,0,40,10,10,10,10,10,0,0,90,390,10,0,60,10,40,20,50,30,10,60,20,20,110,50,30,10,0,0,400,660,210,910,110,40,130
"48",0,0,0,0,30,0,0,40,0,10,0,60,0,0,0,0,0,10,10,10,0,20,0,0,0,0,0,0,140,10,10,0,10,10,0,10,0,0,0,0,10,60,20,10,0,0,240,0,60,70,510,20,0,70
"49",0,0,10,0,20,0,0,0,0,0,10,0,20,0,0,10,0,0,0,10,0,0,0,0,30,0,0,0,70,0,0,10,30,0,10,40,0,0,0,0,0,90,10,40,0,0,320,40,0,50,440,10,0,60
"50",20,20,10,0,0,10,10,0,60,0,10,10,10,0,0,10,0,0,0,30,0,0,20,40,10,0,0,0,130,0,0,30,0,0,10,0,10,0,50,10,20,50,10,40,10,0,260,70,140,0,930,50,20,140
"51",4390,4070,5440,3700,5500,5170,1660,6650,5660,4880,5820,2350,5640,420,880,1090,400,1900,780,3720,590,1930,660,1280,1600,160,60,180,2030,270,150,120,410,150,120,400,90,130,710,180,280,1060,2820,1640,420,780,1170,310,580,760,0,25270,3400,5460
"52",220,390,490,280,120,270,90,260,160,220,160,60,240,0,10,50,40,160,10,190,80,130,10,110,130,30,20,0,100,10,10,0,30,50,10,50,20,0,10,50,60,110,130,70,20,20,80,50,50,80,3460,0,180,270
"53",50,90,50,60,80,20,30,190,40,130,120,30,80,30,30,0,40,30,10,230,10,80,20,30,0,10,10,0,50,0,0,0,10,0,0,20,0,0,40,40,0,0,80,20,10,40,40,20,10,10,620,140,0,190
"54",230,160,600,90,390,220,150,490,410,260,1050,1120,250,20,160,250,80,160,30,350,90,50,150,70,70,20,20,10,250,40,10,0,40,0,50,20,30,10,50,10,50,330,300,220,140,290,190,80,50,190,3010,1950,590,0
