"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
"1",0,40,50,850,20,270,30,0,170,30,0,10,20,20,40,20,10,150,10,340,50,0,50,0,20,0,0,10,190,10,10,0,10,0,0,10,10,10,20,20,10,40,20,20,0,10,0,0,0,20,1310,100,30,40
"2",60,0,160,540,130,160,40,0,30,0,80,20,50,0,10,10,0,20,0,0,10,140,120,40,10,0,10,0,150,10,0,20,50,0,0,10,0,0,40,50,30,40,10,20,30,20,30,0,10,0,680,160,40,40
"3",30,50,0,40,30,10,10,20,110,20,20,0,20,0,0,40,10,10,10,20,10,10,40,90,20,0,0,0,110,50,0,0,10,30,0,10,10,10,70,0,30,30,10,40,10,40,40,0,0,0,870,90,80,100
"4",50,10,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,10,0,10,0,0,0,0,10,0,0,10,0,0,0,0,0,20,0,0,0,0,0,0,20,0,0,0,0,90,0,0,10
"5",10,70,50,810,0,240,10,10,50,10,0,40,30,0,20,0,0,10,20,60,0,120,50,80,60,0,10,10,120,30,0,0,20,60,140,0,0,30,40,0,20,10,50,30,0,10,30,0,10,0,850,80,30,120
"6",80,0,0,10,90,0,0,0,20,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,210,40,0,0
"7",0,0,10,0,0,0,0,120,70,50,60,0,20,0,10,0,10,40,0,40,0,10,50,0,10,0,0,10,170,40,0,0,20,0,40,0,10,0,10,0,10,20,10,10,10,0,30,10,20,0,460,0,10,210
"8",40,0,10,0,10,0,60,0,180,30,80,90,60,0,0,0,0,10,10,0,0,0,10,0,0,0,0,0,90,40,10,0,10,0,0,0,0,30,10,0,10,60,0,0,0,0,50,0,10,30,540,10,0,70
"9",1040,0,100,50,90,450,20,220,0,920,130,30,150,20,60,90,50,120,40,150,10,120,70,20,10,0,10,0,150,40,0,20,10,0,60,10,0,10,40,30,30,30,10,90,20,20,40,20,20,30,1590,180,60,130
"10",10,0,10,0,0,0,0,40,200,0,30,10,110,40,10,0,10,10,0,20,10,0,0,0,0,0,0,0,130,20,0,0,30,0,0,0,0,0,10,0,10,30,20,10,10,0,40,0,10,0,1130,70,40,150
