"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
"29",0,0,10,0,0,0,10,0,0,0,80,0,0,0,0,0,0,0,0,60,0,0,0,150,10,0,10,70,0,610,0,0,0,0,0,0,0,40,0,0,0,0,0,300,110,70,70,0,60,50,190,1710
"30",0,0,10,0,0,0,0,0,0,0,50,0,50,0,0,0,0,80,60,220,10,50,200,370,370,600,90,260,260,0,0,0,0,10,0,0,0,90,10,0,20,10,10,1170,100,240,100,90,730,260,430,7280
"31",0,20,40,140,20,0,70,10,60,60,0,0,190,10,80,10,60,0,0,0,0,0,0,40,0,20,0,0,0,0,0,150,30,1110,130,160,10,4250,0,0,0,0,0,100,80,60,70,200,260,0,80,2780
"32",0,30,0,210,0,0,0,0,0,30,0,0,70,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,250,180,20,0,880,0,0,0,0,0,30,130,0,0,0,10,0,0,420
"33",0,10,0,20,0,0,20,0,0,30,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,780,10,550,0,3300,0,0,0,0,0,70,0,0,0,0,160,0,0,2270
"34",60,20,40,40,10,0,70,10,90,170,0,0,280,30,30,20,0,0,0,0,0,0,0,10,0,0,0,0,0,0,180,200,110,0,190,350,40,4640,0,0,0,40,0,30,10,20,40,0,90,30,0,1610
"35",40,290,30,1740,0,30,0,10,10,40,0,10,170,0,0,0,0,0,10,0,0,0,0,20,0,0,0,0,0,0,20,460,0,410,0,30,0,2620,0,0,0,0,0,200,100,60,0,0,70,0,0,2110
"36",0,0,10,30,0,20,20,10,20,130,0,20,850,0,10,10,50,0,0,0,0,0,0,0,10,0,0,0,0,0,110,10,390,870,50,0,10,4020,0,0,0,0,0,150,40,30,0,0,440,10,10,4540
"37",0,240,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,100,60,70,0,0,0,390,0,0,0,0,0,0,0,0,0,40,0,0,0,120
"38",70,210,10,300,20,130,70,20,180,280,0,150,580,90,150,80,10,30,40,30,30,0,170,80,0,10,10,0,0,10,290,270,150,3620,110,350,30,0,20,0,0,20,60,950,350,110,80,60,1040,110,120,9950
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,270,110,200,1120,30,0,0,0,0,70,0,0,2150
"40",0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,10,10,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,190,0,410,50,780,170,0,10,10,80,260,0,0,2610
"41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,40,260,0,30,400,100,0,10,30,40,30,0,0,1560
"42",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,250,30,90,0,2510,190,140,20,30,100,200,0,60,4790
"43",0,0,10,0,0,0,0,10,0,10,0,30,60,20,0,0,0,20,0,40,0,0,30,80,0,40,10,0,0,10,0,0,0,0,0,10,0,10,190,160,60,130,0,640,120,0,30,40,340,10,120,7130
"44",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,10,10,0,10,0,10,10,0,0,50,0,0,0,0,0,0,0,0,20,0,0,0,0,0,110,60,20,10,560,130,70,2600
"45",0,0,30,0,0,0,10,0,0,0,20,0,0,30,0,0,0,0,30,50,0,0,30,90,0,10,40,10,60,20,0,0,0,0,0,0,0,40,0,10,0,10,50,390,0,10,340,780,500,20,40,2740
"46",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,20,20,90,30,40,40,140,0,10,20,50,30,0,0,0,10,0,0,0,0,0,30,20,0,0,10,350,130,0,70,110,170,290,1110,4140
"47",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,20,0,10,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,220,720,50,0,150,1140,220,60,1560
"48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,40,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,160,1080,0,200,0,130,40,20,1480
"49",0,0,10,0,0,10,0,0,0,0,0,0,0,0,10,10,0,20,0,40,0,10,0,20,0,10,0,20,0,100,0,0,0,10,0,0,0,0,0,40,0,10,30,470,320,40,830,130,0,270,120,4400
"50",0,0,0,0,0,10,0,0,0,0,0,30,0,0,0,10,0,0,30,50,10,20,0,60,0,0,20,10,0,90,0,0,0,0,0,50,0,0,70,0,30,0,10,760,50,340,180,140,450,0,900,3680
"51",0,0,10,0,0,0,0,0,0,0,30,40,60,0,0,0,0,50,110,180,20,40,60,120,10,20,40,130,50,80,10,0,0,0,0,0,0,20,0,20,20,0,30,390,90,450,30,110,260,470,0,4460
"52",120,50,90,20,70,200,40,60,120,220,120,280,580,50,10,130,50,250,250,820,470,310,1010,840,390,390,470,680,200,720,60,30,80,130,50,170,20,1110,140,140,60,310,520,9020,1250,770,1480,540,6200,2860,1550,0
