"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
"23",1908,75,104,174,170,37,12,37,5,25,20,29,52,12,4,326,75,127,12,36,132,2559,0,534,117,9,14,16,0,14,0,55,5,0,12,3,12,9,4,69,971,0,0,144,263,19,0,0,0,4,5,0,17,2,0,0,15,0,0,0,0,0,0
"24",4447,124,116,554,195,77,243,127,31,56,33,16,53,201,21,385,194,235,52,138,38,338,663,0,594,162,75,34,0,11,19,6,20,5,0,0,9,41,95,113,45,0,0,89,471,304,9,0,251,23,11,0,0,0,6,0,0,0,32,3,0,0,11
"25",8596,361,280,446,170,381,361,385,41,73,141,51,80,54,50,385,417,260,140,239,320,354,156,841,0,547,139,76,19,11,109,63,88,30,9,12,45,433,284,215,244,16,5,409,1428,2777,133,28,575,146,87,0,0,10,0,0,6,0,92,0,13,0,8
"26",35048,3945,1583,1623,1161,743,2082,3853,115,295,240,238,240,411,59,1560,545,1042,538,1310,1446,654,272,897,786,0,5918,519,415,238,1208,3104,609,718,153,229,1005,2375,3160,4961,2019,486,1383,7590,43514,58905,3856,476,20569,4674,581,520,847,112,124,163,240,132,750,105,506,70,145
"27",19423,1478,587,830,412,288,707,670,47,94,40,79,85,100,83,582,318,560,265,727,525,303,155,240,319,2902,0,3597,639,344,2672,4033,502,693,265,244,916,918,1651,3450,2054,176,706,4160,34659,35490,1630,318,17026,2583,329,222,82,102,97,42,107,75,383,64,336,33,90
"28",6786,269,279,184,225,92,165,442,70,48,20,21,74,38,14,282,163,209,55,208,213,82,45,138,87,491,8301,0,397,354,2450,3116,283,850,121,155,749,365,1078,2266,1035,178,297,2143,18947,18517,773,150,9612,1793,320,55,4,65,55,16,71,20,535,64,126,4,5
"29",1166,62,28,39,88,25,70,57,16,54,0,6,15,13,2,25,90,32,33,46,53,18,7,7,16,286,616,370,0,915,4670,6086,627,902,77,73,457,489,404,733,266,82,203,737,11705,7056,585,337,3524,1079,214,12,19,18,16,38,21,7,20,8,64,21,40
"30",285,36,18,6,9,26,5,10,0,0,14,0,18,0,10,26,8,38,30,70,47,1,0,11,0,117,152,136,488,0,4123,4955,538,196,152,132,620,102,213,437,148,19,258,518,8586,1512,400,59,2202,672,92,0,55,5,13,8,18,5,25,17,25,0,4
"31",1029,49,46,42,37,30,0,68,2,9,244,76,9,38,12,19,40,43,38,82,487,13,13,13,55,467,947,670,1094,1141,0,6622,809,303,196,131,645,282,492,1034,248,69,147,1116,23948,2208,663,24,2376,646,103,48,43,63,85,31,15,28,92,6,98,30,88
"32",691,95,28,13,11,45,26,70,7,0,9,16,3,11,1,36,4,0,26,32,34,17,3,0,37,162,273,347,664,362,1202,0,2318,769,406,66,319,148,579,677,73,30,78,172,7769,721,87,31,380,118,48,14,18,45,14,15,16,15,19,32,72,0,0
