"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
"19",19050,4081,1414,5282,4404,0,884,194,206,3035,5219,2612,997,97,1195,2463,588,1300,0,3872,1229,1038,605,309,3355,402,107,2935,950,502,503,1222,1327,106,101,101,0,1012,0,0,0,105,105,0,408,0,613,102,102,0,702,203,607,102,494,504,405,2688,3687,198,97,0,314,0,0,293,208,0,105,0,0,520,0,195,0,0
"20",11424,3718,399,2237,3240,0,0,0,0,402,7638,1474,998,97,1205,489,0,705,2063,0,1612,1482,1207,308,504,100,213,928,731,215,604,503,1454,609,202,320,0,210,0,0,200,102,205,0,0,0,203,0,105,0,0,200,0,0,487,293,904,2215,4499,0,0,496,0,105,105,823,415,517,206,0,0,195,0,0,0,0
"21",16364,5475,101,301,1424,0,0,0,0,588,2900,1021,306,99,97,686,194,784,2227,1910,0,2150,309,604,302,0,0,725,211,0,0,1116,208,0,1124,201,0,206,100,0,0,0,105,102,105,0,203,0,210,0,102,102,100,100,393,99,302,2250,2604,0,97,198,206,105,0,1746,613,0,0,0,103,0,0,0,0,0
"22",13701,4100,1786,1430,490,0,198,0,0,692,2588,4003,99,0,1710,0,0,0,805,422,1539,0,3798,1906,0,421,0,611,106,0,309,0,1154,0,804,403,0,0,0,0,402,0,0,0,0,0,0,203,0,102,102,203,0,0,97,194,0,3384,3137,97,0,0,0,206,98,105,0,105,519,0,0,0,0,0,0,0
"23",21462,4129,205,3344,2181,0,0,0,99,1004,4065,2160,97,97,491,705,0,401,2458,101,309,4644,0,1332,201,1543,213,1633,1592,402,202,303,1846,107,535,101,502,930,100,941,303,0,303,0,0,0,102,206,407,0,300,0,203,200,601,200,196,906,2034,0,0,405,287,0,0,105,1204,1250,103,623,702,0,0,103,599,0
"24",5302,1199,408,914,691,0,0,0,0,0,1094,402,392,0,99,0,0,97,0,202,0,402,1239,0,0,1005,0,101,316,100,0,516,1020,1059,0,0,505,0,0,0,0,0,0,0,0,0,0,0,100,102,0,203,210,515,293,97,1833,203,1098,0,0,0,0,0,0,0,0,0,0,0,195,0,206,0,0,0
"25",11633,5219,794,1122,2022,103,198,0,0,2642,1306,1599,0,619,409,489,0,491,1333,201,0,215,309,0,0,0,623,2941,839,853,201,0,309,101,311,0,0,0,0,307,0,0,0,0,0,0,403,310,102,420,200,105,0,0,402,0,512,1080,3906,194,0,99,0,0,0,366,625,0,0,183,98,0,0,0,0,0
"26",2457,0,0,103,296,0,0,0,0,0,1108,0,0,0,99,0,0,206,414,100,0,0,915,0,0,0,0,0,0,0,0,0,426,0,0,201,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,100,0,0,0,0,511,1182,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",1428,913,0,0,408,0,0,0,0,194,820,717,0,0,101,0,0,0,0,101,0,0,0,100,0,0,0,1214,835,429,1106,0,101,101,100,107,0,105,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,297,101,205,1270,1017,0,0,194,103,1252,0,0,520,0,0,299,0,0,0,0,0,0
"28",14775,5737,1399,3651,1480,393,97,0,0,198,2217,3155,1080,0,1116,103,97,196,1951,309,302,202,201,100,2294,302,208,0,2841,1936,1245,2199,503,625,1273,929,107,516,202,210,0,0,105,0,105,0,1107,203,0,0,303,100,0,210,398,898,508,2326,4635,0,0,309,0,0,0,671,0,0,0,103,0,0,0,0,0,206
"29",11214,5848,1102,1783,1612,0,402,0,0,496,6485,1506,692,97,887,101,0,0,1442,0,208,202,704,301,404,1207,3218,2879,0,1019,2971,820,206,828,2637,942,739,823,0,0,202,0,105,105,0,0,0,0,303,0,0,0,305,102,295,0,399,202,3656,0,196,295,202,208,208,105,463,0,0,390,312,0,0,195,574,0
"30",3311,2305,103,405,398,99,0,0,99,511,101,689,0,0,194,0,0,0,946,101,101,0,0,0,422,101,211,1249,302,0,208,100,100,0,0,0,0,0,0,302,0,0,200,600,302,0,0,505,0,0,0,412,0,0,0,0,103,508,1185,0,0,918,0,1037,0,91,0,0,0,91,0,0,0,183,195,0
"31",6127,2118,397,200,1083,0,0,0,205,97,1717,1427,202,0,394,0,0,0,523,0,302,101,313,0,0,0,312,503,2625,101,0,100,0,0,202,213,0,0,0,0,100,105,0,0,0,0,0,0,203,0,0,100,0,200,0,0,0,608,1112,0,0,0,0,103,0,1494,300,0,0,98,91,622,0,98,0,0
"32",8372,2203,702,2283,1079,0,686,99,0,492,491,1093,2281,0,388,0,99,194,1231,100,504,825,408,0,513,0,0,2287,612,202,202,0,1435,309,513,320,605,735,100,310,100,0,0,0,0,0,302,0,0,0,0,0,0,0,97,596,198,198,1473,0,0,0,0,0,384,105,91,0,0,98,0,0,0,0,0,0
"33",20391,2645,509,1841,101,0,0,0,0,99,1204,1791,919,0,203,0,0,0,922,202,604,939,616,1356,1021,611,640,1548,1982,215,0,1785,0,509,1159,215,201,409,100,0,0,0,202,0,210,102,105,200,0,0,203,0,0,303,388,103,0,1075,1931,0,0,0,0,0,0,195,0,0,417,195,0,0,0,0,0,0
"34",4801,2654,507,1121,393,0,97,0,0,1004,205,0,0,0,101,0,0,0,1113,100,302,504,719,0,0,100,107,1760,1430,0,306,941,1031,0,704,202,4024,105,200,505,0,0,302,0,0,420,102,403,403,203,102,0,102,0,293,308,392,196,1602,0,0,0,195,0,418,189,312,0,1708,0,0,0,91,603,0,0
"35",7452,3089,0,1826,887,99,787,0,0,205,1944,101,203,0,493,0,0,0,301,101,0,619,402,101,202,403,0,1045,2961,215,2030,215,0,1548,0,1782,0,210,100,0,100,0,0,0,100,0,105,0,604,0,0,100,0,0,97,0,0,196,1811,0,308,0,0,0,208,280,834,0,0,105,0,105,0,0,0,0
"36",3209,1110,103,1401,101,0,0,0,0,303,405,918,206,0,502,0,97,0,0,0,0,0,0,1106,403,318,0,507,1145,0,309,0,402,100,1261,0,403,105,0,100,0,200,0,0,0,0,102,0,0,0,0,0,0,0,884,0,196,880,1105,0,0,0,0,415,105,521,0,0,834,105,0,0,0,0,0,0
"37",3204,505,0,205,97,0,101,0,97,0,511,0,203,194,103,0,0,0,0,0,201,0,0,605,100,1007,0,202,0,0,0,0,202,0,0,1442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0
"38",7345,613,203,309,295,0,198,0,199,103,510,601,588,0,0,103,0,0,741,301,0,0,215,0,202,101,0,0,0,0,0,531,0,0,0,106,0,0,2429,420,100,0,519,608,1857,605,105,0,0,507,0,207,403,0,99,1088,0,304,0,0,0,0,622,195,0,0,0,0,0,410,0,195,0,0,0,195
"39",650,1231,296,306,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,201,211,0,1914,0,0,0,0,201,0,0,0,0,0,3268,0,302,0,403,0,0,505,505,0,0,0,210,102,0,0,0,0,0,489,0,198,0,0,0,0,0,206,0,0,0,0,98,0,0,0,0,0,0
"40",3142,302,602,103,695,0,612,0,0,206,101,985,103,194,0,0,0,0,0,301,106,0,0,0,202,0,0,401,318,0,0,0,101,0,0,0,0,4313,2007,0,302,511,210,315,617,202,303,105,0,405,203,400,314,102,686,0,0,103,705,0,206,0,0,195,98,0,0,105,0,91,0,0,0,189,0,0
"41",2073,597,1768,408,1092,0,0,0,0,198,2127,0,0,0,409,0,0,0,302,504,0,101,202,101,0,0,0,0,101,0,0,101,0,0,0,0,201,946,100,0,0,100,311,0,1312,0,105,0,102,202,203,1745,102,308,101,97,0,495,390,0,0,0,726,195,0,0,0,0,311,0,0,0,0,0,0,0
"42",2815,390,203,509,198,0,101,0,0,818,505,101,0,0,409,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436,604,407,202,0,731,202,718,0,100,0,0,604,305,1049,419,0,0,0,0,394,101,0,0,0,0,0,98,0,0,0,0,0,91,0,0,0,0,0
"43",2195,103,0,1381,101,0,0,0,0,0,0,608,0,0,0,0,0,0,0,201,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933,700,525,102,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1665,0,0,194,0,0,0,0,0,0,0,0,105,0,0,105,0,0
"44",4029,596,0,0,203,0,0,0,0,101,921,198,97,0,97,0,0,0,0,0,0,0,0,0,0,101,0,806,0,0,0,101,100,0,0,0,0,1135,407,514,0,0,611,0,1545,303,307,100,0,417,0,203,0,305,194,97,0,715,196,0,203,0,0,0,0,0,0,0,0,293,0,0,0,0,0,0
"45",8813,489,1332,296,388,0,0,0,97,1183,808,206,0,99,97,0,0,0,523,100,0,302,0,101,303,0,0,0,603,0,101,0,0,0,0,426,0,6483,1611,1454,202,1314,311,814,0,0,0,105,0,714,0,105,302,0,390,101,203,819,923,0,0,203,0,0,103,300,105,103,0,2146,0,0,0,98,378,0
"46",471,97,0,0,97,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2721,200,210,0,0,0,421,0,0,0,0,0,0,0,0,0,202,0,0,0,97,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0
