"Code",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
"1",0,440,160,380,20,0,0,140,120,60,80,0,0,0,0,20,380,80,0,40,40,0
"2",360,0,840,540,20,0,20,140,60,40,40,0,20,0,80,100,300,120,0,20,60,40
"3",80,840,0,1160,840,80,20,0,200,20,0,40,0,20,0,100,160,40,20,80,60,80
"4",540,780,1520,0,1660,1580,540,620,460,920,160,20,260,260,140,380,1180,400,40,140,120,340
"5",20,100,860,1700,0,240,80,120,160,140,20,60,40,0,100,60,420,140,0,0,20,60
"6",20,20,60,1060,40,0,20,0,60,940,100,20,0,0,0,40,180,40,0,20,20,0
"7",0,80,20,960,220,20,0,360,40,140,80,60,220,40,20,160,580,160,80,60,20,20
"8",20,180,60,900,140,80,380,0,20,40,20,60,0,20,20,60,360,240,40,80,20,20
"9",0,80,40,260,0,60,20,20,0,100,0,140,60,140,60,80,1460,400,100,400,20,120
"10",40,40,40,720,0,860,80,100,80,0,480,80,300,60,20,260,320,160,20,80,20,40
"11",100,40,40,260,20,80,40,80,60,840,0,300,200,80,40,1300,660,200,0,80,40,80
"12",0,0,100,80,0,0,80,0,140,60,400,0,0,200,280,20,500,60,40,60,60,0
"13",0,0,20,400,0,20,20,40,80,320,480,120,0,60,40,280,600,60,40,20,60,40
"14",20,0,0,0,0,0,0,0,300,20,40,1580,0,0,180,40,2040,180,360,0,20,0
"15",0,60,0,80,0,40,40,0,40,60,40,380,40,60,0,180,800,160,160,120,40,60
"16",20,0,120,340,40,0,20,80,220,240,660,200,380,280,140,0,1980,560,60,220,0,80
"17",620,360,200,1200,380,140,640,880,2180,620,420,760,840,4740,900,1940,0,10740,2020,2080,420,600
"18",0,60,40,260,20,60,0,160,820,40,220,80,240,400,180,220,4180,0,240,1120,100,40
"19",0,20,0,60,0,0,0,40,60,0,20,20,0,300,460,160,1180,520,0,120,0,20
"20",0,100,20,180,140,0,0,80,1140,80,160,100,20,240,340,180,2220,1300,340,0,280,80
"21",20,120,0,200,0,0,0,0,160,60,80,40,0,140,40,80,740,280,20,40,0,40
"22",0,100,20,180,20,0,0,0,140,40,100,0,40,0,20,40,420,100,40,80,120,0
